Lat,Lon,,
17.794,118.634,,
17.768,118.964,,
17.740,119.294,,
17.712,119.625,,
17.683,119.955,,
17.653,120.284,,
17.622,120.614,,
17.589,120.943,,
17.556,121.272,,
17.522,121.601,,
17.487,121.930,,
17.451,122.259,,
17.414,122.587,,
17.376,122.915,,
17.337,123.243,,
17.297,123.570,,
17.257,123.898,,
17.215,124.225,,
17.172,124.551,,
17.128,124.878,,
17.084,125.204,,
17.038,125.530,,
16.991,125.855,,
16.944,126.181,,
16.895,126.506,,
16.846,126.830,,
16.796,127.155,,
16.744,127.479,,
16.692,127.802,,
16.639,128.126,,
16.585,128.449,,
16.530,128.772,,
16.474,129.094,,
16.417,129.416,,
16.359,129.738,,
16.300,130.059,,
16.241,130.380,,
16.180,130.700,,
16.119,131.020,,
16.056,131.340,,
15.993,131.660,,
15.929,131.979,,
15.864,132.297,,
15.798,132.615,,
15.731,132.933,,
15.663,133.250,,
15.594,133.567,,
15.524,133.884,,
15.454,134.200,,
15.383,134.515,,
15.310,134.831,,
15.237,135.145,,
15.163,135.460,,
15.088,135.774,,
15.012,136.087,,
14.936,136.400,,
14.858,136.712,,
14.780,137.024,,
14.701,137.336,,
15.004,82.582,,
15.083,82.894,,
15.162,83.207,,
15.240,83.521,,
15.317,83.834,,
15.393,84.149,,
15.468,84.463,,
15.543,84.779,,
15.616,85.094,,
15.689,85.410,,
15.760,85.727,,
15.831,86.044,,
15.901,86.361,,
15.970,86.679,,
16.038,86.997,,
16.106,87.316,,
16.172,87.635,,
16.237,87.954,,
16.302,88.274,,
16.365,88.595,,
16.428,88.915,,
16.490,89.236,,
16.551,89.558,,
16.611,89.880,,
16.670,90.202,,
16.728,90.524,,
16.785,90.847,,
16.841,91.171,,
16.896,91.494,,
16.951,91.818,,
17.004,92.143,,
17.057,92.467,,
17.108,92.792,,
17.159,93.118,,
17.208,93.443,,
17.257,93.769,,
17.305,94.096,,
17.352,94.422,,
17.397,94.749,,
17.442,95.076,,
17.486,95.404,,
17.529,95.731,,
17.571,96.059,,
17.612,96.388,,
17.652,96.716,,
17.691,97.045,,
17.729,97.374,,
17.767,97.703,,
17.803,98.033,,
17.838,98.362,,
17.872,98.692,,
17.905,99.023,,
17.938,99.353,,
17.969,99.684,,
17.999,100.014,,
18.029,100.345,,
18.057,100.677,,
18.084,101.008,,
18.111,101.339,,
18.136,101.671,,
18.161,102.003,,
18.184,102.335,,
18.206,102.667,,
18.228,103.000,,
18.248,103.332,,
18.268,103.665,,
18.286,103.997,,
18.304,104.330,,
18.320,104.663,,
18.336,104.996,,
18.350,105.329,,
18.364,105.663,,
18.376,105.996,,
18.388,106.329,,
18.398,106.663,,
18.408,106.996,,
18.416,107.330,,
18.424,107.664,,
18.430,107.997,,
18.436,108.331,,
18.440,108.665,,
18.444,108.999,,
18.446,109.332,,
18.448,109.666,,
18.448,110.000,,
18.448,110.334,,
18.446,110.668,,
18.444,111.001,,
18.440,111.335,,
18.436,111.669,,
18.430,112.003,,
18.424,112.336,,
18.416,112.670,,
18.408,113.004,,
18.398,113.337,,
18.388,113.671,,
18.376,114.004,,
18.364,114.337,,
18.350,114.671,,
18.336,115.004,,
18.320,115.337,,
18.304,115.670,,
18.286,116.003,,
18.268,116.335,,
18.248,116.668,,
18.228,117.000,,
18.206,117.333,,
18.184,117.665,,
